Gene stable ID	Gene name
AGAP005055	ITP
AGAP005056	
AGAP005057	
AGAP005058	
AGAP005059	
AGAP005060	GPRNND2
AGAP005061	RpS9
AGAP005062	
AGAP005063	
AGAP005064	
AGAP005065	
AGAP005066	
AGAP005067	
AGAP005068	
AGAP005069	
AGAP005070	
AGAP005071	
AGAP005072	
AGAP005073	
AGAP005074	
AGAP005075	
AGAP005076	
AGAP005077	
AGAP005079	
AGAP005080	
AGAP005081	
AGAP005082	
AGAP005088	
AGAP005091	
AGAP005092	
AGAP005093	
AGAP005094	
AGAP005095	
AGAP005096	
AGAP005098	
AGAP005099	
AGAP005100	
AGAP005101	
AGAP005102	APG7B
AGAP005103	
AGAP005104	
AGAP005105	
AGAP005106	
AGAP005107	
AGAP005108	
AGAP005109	
AGAP005110	Actincytosk
AGAP006579	
AGAP005113	
AGAP005114	
AGAP005115	
AGAP005116	
AGAP005117	
AGAP005118	mRpS17
AGAP005119	
AGAP005120	
AGAP005121	
AGAP005122	
AGAP005123	
AGAP005124	
AGAP005125	
AGAP005126	SPZ6
AGAP028405	
AGAP005127	
AGAP005128	
AGAP005129	
AGAP005130	
AGAP005131	RpS24
AGAP005132	
AGAP005133	
AGAP005134	
AGAP005135	
AGAP005136	
AGAP005137	
AGAP005138	
AGAP005139	
AGAP005141	
AGAP005142	
AGAP005143	
AGAP005144	
AGAP005145	
AGAP005146	
AGAP005147	
AGAP005148	
AGAP005149	
AGAP005150	
AGAP005152	
AGAP005153	
AGAP005155	
AGAP005156	
AGAP005158	
AGAP005159	
AGAP005160	
AGAP005161	
AGAP005162	
AGAP005163	
AGAP005164	
AGAP005165	
AGAP005166	
AGAP005167	
AGAP005168	
AGAP005169	
AGAP005170	
AGAP005171	
AGAP005172	
AGAP005173	
AGAP005174	
AGAP005175	
AGAP005176	
AGAP005177	
AGAP005178	
AGAP005179	
AGAP005180	
AGAP005181	
AGAP005182	OBP41
AGAP005183	
AGAP005185	
AGAP028009	
AGAP005188	
AGAP005189	
AGAP005190	
AGAP005191	
AGAP005192	
AGAP005193	
AGAP005194	
AGAP005195	
AGAP005196	
AGAP005197	
AGAP005198	
AGAP005199	
AGAP028104	
AGAP005200	
AGAP005201	
AGAP005202	
AGAP005203	PGRPLC
AGAP028178	CPLCP13
AGAP028156	CPLCP14
AGAP013364	
AGAP007691	SRPN18
AGAP005206	
AGAP005207	
AGAP005208	OBP20
AGAP028149	
AGAP005209	
AGAP005210	
AGAP005211	
AGAP005212	
AGAP005213	
AGAP005214	
AGAP005215	
AGAP005216	
AGAP005217	
AGAP005218	
AGAP005219	
AGAP005220	
AGAP005221	
AGAP005222	
AGAP005223	
AGAP005225	
AGAP005226	
AGAP005227	
AGAP007611	
AGAP005229	
AGAP005230	
AGAP005231	
AGAP005233	
AGAP005234	CuSOD2
AGAP005235	
AGAP005236	
AGAP005237	
AGAP005238	
AGAP005239	
AGAP005240	
AGAP005241	
AGAP005242	
AGAP005243	
AGAP005244	
AGAP005245	
AGAP007237	HPX4
AGAP013248	CPR139
AGAP005247	
AGAP005248	
AGAP005249	
AGAP005250	
AGAP005251	
AGAP005252	MYD
AGAP028193	
AGAP005253	
AGAP005254	
AGAP005255	
AGAP005256	
AGAP005257	
AGAP005258	
AGAP005259	
AGAP005260	
AGAP005261	
AGAP005262	
AGAP005263	
AGAP005264	
AGAP005265	
AGAP005266	
AGAP005267	
AGAP005268	
AGAP005269	
AGAP005270	
AGAP005271	
AGAP005272	
AGAP005273	
AGAP005275	
AGAP005111	
AGAP005277	
AGAP007596	
AGAP005280	
AGAP005281	
AGAP005282	
AGAP005283	
AGAP005288	
AGAP005287	
AGAP005466	IR75l
AGAP005289	
AGAP005290	
AGAP005291	
AGAP005292	
AGAP005293	
AGAP005294	
AGAP005295	
AGAP005296	
AGAP005297	
AGAP005298	
AGAP005299	
AGAP005300	
AGAP005301	
AGAP005302	
AGAP005303	
AGAP005304	
AGAP005305	
AGAP005306	
AGAP005307	
AGAP005308	
AGAP005309	
AGAP005310	
AGAP005311	
AGAP005312	
AGAP005313	
AGAP005314	
AGAP005315	
AGAP005316	
AGAP005317	
AGAP005318	
AGAP005319	
AGAP005320	
AGAP005321	
AGAP005322	
AGAP005323	
AGAP005324	
AGAP005325	
AGAP005326	
AGAP005327	
AGAP005328	
AGAP005329	
AGAP005330	
AGAP005331	
AGAP005332	CTLMA6
